,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
954,442012681,Skype for iPad,129096704,USD,0,60163,104,4,4.5,6.35.1,4+,Social Networking,24,5,32,1
588,389638243,POF,59248640,USD,0,52642,16,3.5,3.5,5.9,17+,Social Networking,37,5,31,1
3818,940508574,Color Pop Effects - Photo Editor & Picture Editing,78735360,USD,0,45320,7896,4.5,4.5,5.3,4+,Photo & Video,37,3,1,1
552,384830320,"Find My Family, Friends & iPhone - Life360 Locator",154507264,USD,0,43877,80,4.5,4.5,13.7.1,4+,Social Networking,37,0,13,1
1655,543577420,Photo Grid - photo collage maker & photo editor,112073728,USD,0,40531,10,4.5,4.5,6.1.80,4+,Photo & Video,37,5,22,1
1414,506141837,"Whisper - Share, Express, Meet",98764800,USD,0,39819,58,4,3,8.6.1,17+,Social Networking,37,0,6,1
119,307354030,iSwap Faces LITE,30796800,USD,0,39722,0,3,0,5.1,4+,Photo & Video,37,5,1,1
1547,527445936,Photo Editor by Aviary,36269056,USD,0,39501,741,4.5,5,4.6.1,12+,Photo & Video,37,5,23,1
2117,608188610,"MOLDIV - Photo Editor, Collage & Beauty Camera",120056832,USD,0,39501,4851,4.5,4.5,3.2.1,4+,Photo & Video,37,5,18,1
235,330803072,Camera Plus: For Macro Photos & Remote Photography,101181440,USD,0.99,38533,36,2.5,3.5,4.5.4,4+,Photo & Video,37,4,11,1
2268,643496868,Hangouts,94750720,USD,0,36404,0,4,0,16.0.0,4+,Social Networking,37,5,34,1
1890,575147772,LINE PLAY - Your Avatar World,108691456,USD,0,34677,313,4.5,4.5,4.9.6,4+,Social Networking,37,5,6,1
952,441457218,"Photo Lab: Picture Editor, effects & fun face app",102964224,USD,0,34585,34,4.5,4.5,2.8.24,12+,Photo & Video,37,5,10,1
777,414478124,WeChat,182624256,USD,0,34584,100,4.5,4,6.5.8,12+,Social Networking,38,4,21,1
345,351331194,"Badoo - Meet New People, Chat, Socialize.",157625344,USD,0,34428,23,4.5,4,5.8.0,17+,Social Networking,37,4,30,1
2864,799406905,Rookie Cam - Photo Editor & Filter Camera,110953472,USD,0,33921,2404,4.5,4.5,3.2,4+,Photo & Video,37,5,18,1
1058,457517348,FotoRus -Camera & Photo Editor & Pic Collage Maker,119500800,USD,0,32558,147,5,4.5,7.0.4,4+,Photo & Video,38,5,3,1
229,329670577,Camera+,89187328,USD,1.99,32338,261,4,4.5,9.1,4+,Photo & Video,37,0,10,1
1996,587366035,PicsArt Photo Studio: Collage Maker & Pic Editor,124726272,USD,0,29078,6,4.5,4,9.8,12+,Photo & Video,37,5,21,1
2519,694164275,Quik – GoPro Video Editor to edit clips with music,211343360,USD,0,28654,21,4.5,4.5,4.0.1,4+,Photo & Video,37,5,15,1
1823,566223681,Followers + for Instagram - Follower Analytics,17986560,USD,0,28633,402,4,3.5,2.1.1,12+,Social Networking,38,5,29,1
616,392796698,GroupMe,66864128,USD,0,28260,294,4.5,4.5,5.9.0,4+,Social Networking,37,1,14,1
741,409838725,Splice - Video Editor + Movie Maker by GoPro,123070464,USD,0,28189,2723,4.5,5,3.5.3,4+,Photo & Video,37,5,22,1
3506,912561374,Marco Polo Video Walkie Talkie,122692608,USD,0,27662,381,4.5,4.5,0.14.87,4+,Social Networking,37,2,1,1
1480,518158653,FreePrints – Photos Delivered,112790528,USD,0,26060,0,5,0,2.11.3,4+,Photo & Video,37,5,1,1
4658,994905763,Triller - Music Video & Film Maker,87287808,USD,0,25683,186,5,4.5,4.2.2,12+,Photo & Video,37,5,1,1
2187,626583252,Faded - Photo Editor,118618112,USD,1.99,24530,3551,4.5,4.5,2.3.1,4+,Photo & Video,38,5,5,1
6820,1073816197,Miitomo,112008192,USD,0,23965,299,4,4.5,2.2.2,4+,Social Networking,37,5,9,1
490,375239755,SimSimi,31358976,USD,0,23530,7,4,2.5,6.8.9,17+,Social Networking,37,0,25,1
182,319881193,"Grindr - Gay and same sex guys chat, meet and date",80409600,USD,0,23201,14,2.5,2,3.9.1,17+,Social Networking,37,5,5,1
2988,836071680,Wishbone - Compare Anything,117052416,USD,0,20649,49,4.5,3,5.17.4,12+,Social Networking,37,0,1,1
2489,688319243,PicLab Studio - Creative Editing & Graphic Design,53941248,USD,2.99,20200,94,4.5,4,2.1,4+,Photo & Video,37,5,1,1
271,336435697,imo video calls and chat,22562816,USD,0,18841,0,4,0,7.0.84,4+,Social Networking,38,2,29,1
3575,918396645,After School - Funny Anonymous School News,148799488,USD,0,18482,1,4,5,1.9,17+,Social Networking,37,0,1,1
3085,860011430,Ghost Lens+Scary Photo Video Edit&Collage Maker,102500352,USD,0,18316,756,5,4.5,3.91,12+,Photo & Video,40,5,3,1
4065,957764690,"Quick Reposter - Repost, Regram and Reshare Photos",16826368,USD,0,17694,72,4.5,4,15,17+,Social Networking,37,2,1,1
560,386098453,Weibo HD,104387584,USD,0,16772,293,4.5,3,4.0.0,4+,Social Networking,24,4,3,1
962,443354861,"Camera360 - Selfie Filter Camera, Photo Editor",161159168,USD,0,16729,2,4.5,4.5,8.5.6,12+,Photo & Video,37,0,12,1
1611,535811906,"Over— Edit Photos, Add Text & Captions to Pictures",109300736,USD,0,16221,165,4.5,4.5,4.3.1,4+,Photo & Video,37,5,1,1
2145,615187629,InstaMag - Free Pic and Photo Collage Maker,95378432,USD,0,16221,262,4.5,5,3.8.7,4+,Photo & Video,38,5,4,1
429,365152940,Photo Transfer App - Easy backup of photos+videos,45182976,USD,0,15654,24,4.5,4.5,6.2.1,4+,Photo & Video,37,5,2,1
1902,576649830,"InstaSize: Photo Editor, Picture Effects & Collage",99624960,USD,0,15605,1288,4,4.5,4.3.41,4+,Photo & Video,37,1,23,1
1859,570315854,Repost for Instagram,46076928,USD,0,15185,407,4.5,5,3.2.5,12+,Social Networking,37,0,1,1
9068,1122649984,"Prisma: Photo Editor, Art Filters Pic Effects",76442624,USD,0,15060,97,4.5,4,3.3.1,9+,Photo & Video,37,0,2,1
3980,951704333,"Filterra – Photo Editor, Effects for Pictures",99465216,USD,0,14744,2178,4.5,4.5,1.1,4+,Photo & Video,37,5,13,1
7580,1089836344,Live.me – Live Video Chat & Make Friends Nearby,163832832,USD,0,14724,97,4.5,4.5,3.6.20,17+,Social Networking,37,0,9,1
2253,640360962,Nextdoor,82531328,USD,0,14402,104,4.5,4.5,3.11,4+,Social Networking,37,0,4,1
3099,863844475,YouCam Makeup: Magic Makeup Selfie Cam,133124096,USD,0,14188,264,4.5,5,5.20.0,9+,Photo & Video,37,4,16,1
1875,573116090,Afterlight,76231680,USD,0.99,14057,79,4.5,4.5,3.2,4+,Photo & Video,37,5,1,1
10279,1156192844,Followers Analytics for Instagram - InstaReport,35136512,USD,0,13914,493,4.5,4,2.3,4+,Social Networking,37,0,8,1
6363,1065249424,MSQRD — Live Filters & Face Swap for Video Selfies,198906880,USD,0,12982,750,4.5,4.5,1.3.5,9+,Photo & Video,37,5,11,1
9734,1137893020,Artisto – Video and Photo Editor with Art Filters,55673856,USD,0,12963,979,5,5,1.17,4+,Photo & Video,37,3,8,1
4696,997362197,"InShot Video Editor Music, No Crop, Cut",55851008,USD,0,12779,3366,5,5,1.19.1,4+,Photo & Video,37,0,9,1
4209,967351793,Layout from Instagram,9355264,USD,0,12616,2397,4.5,4.5,1.2.4,4+,Photo & Video,37,0,27,1
303,342115564,Hipstamatic,114081792,USD,2.99,12557,6,3.5,5,337,4+,Photo & Video,37,5,15,1
1575,530957470,LiveCollage Pro-Photo Collage Maker&Photo Editor,88022016,USD,1.99,12319,0,4.5,0,5.5.0,4+,Photo & Video,37,5,4,1
1157,471347413,YouNow: Live Stream Video Chat,91615232,USD,0,12079,24,3.5,3.5,13.25.0,12+,Social Networking,37,5,7,1
4509,986073281,Face Swap App- Funny Face Changer Photo Effects,16275456,USD,0,11977,92,4.5,4,2.4,4+,Photo & Video,37,5,1,1
2317,651309421,FollowMeter for Instagram - Followers Tracking,11819008,USD,0,11976,172,4.5,4.5,3.6,4+,Social Networking,37,0,1,1
4594,991346515,Moments - private albums with friends and family,204382208,USD,0,11955,0,4.5,0,23.5,4+,Photo & Video,37,0,33,1
966,443904275,LINE,212208640,USD,0,11437,11,3.5,3,7.5.0,4+,Social Networking,37,5,17,1
2002,588013838,VSCO,98576384,USD,0,11174,0,3.5,0,27,12+,Photo & Video,37,5,16,1
1064,458272450,eHarmony? Dating App - Meet Singles,102413312,USD,0,11124,15,2.5,1,5.5.1,17+,Social Networking,37,0,1,1
1910,577423493,"Retrica - Selfie Camera with Filter, Sticker & GIF",112688128,USD,0,11021,9,4.5,4.5,4.1.1,4+,Photo & Video,37,0,16,1
1197,476312888,"Photo Lab PRO HD: frames for pictures, face sketch",101117952,USD,4.99,10754,5,4.5,5,2.8.24,12+,Photo & Video,37,3,10,1
2670,738897668,VivaVideo - Best Video Editor & Photo Movie Maker,136221696,USD,0,10618,267,4.5,4.5,5.8.2,4+,Photo & Video,37,0,19,1
2167,621574163,Prime Photos from Amazon,76257280,USD,0,10511,2201,4,4.5,4.5.1,4+,Photo & Video,37,5,9,1
504,377342622,360 Panorama,7954432,USD,1.99,10463,193,4.5,3.5,4.4.3,4+,Photo & Video,38,5,3,1
2281,645746786,Word Swag - Cool fonts & typography generator,112843776,USD,4.99,9731,1840,5,4.5,2.1.5,4+,Photo & Video,38,5,1,1
4503,985746746,Discord - Chat for Gamers,26890240,USD,0,9152,0,4.5,0,1.8.7,4+,Social Networking,37,5,1,1
3350,897446215,Canva - Graphic Design & Photo Editing,126391296,USD,0,9114,337,4.5,5,2.3.0,4+,Photo & Video,37,5,17,1
975,444934666,QQ,218936320,USD,0,9109,17,3,1.5,7.0.1,12+,Social Networking,37,0,1,1
1684,546821797,Photo Editor-,46732288,USD,0,9095,411,4.5,4.5,5.0.4,4+,Photo & Video,37,5,31,1
2502,691025552,Font Candy+ Typography - Editor Add Text To Photos,101650432,USD,2.99,9021,37,4.5,4.5,5,4+,Photo & Video,37,5,9,1
937,439438619,Snapseed,141322240,USD,0,8683,98,4,4.5,2.17,4+,Photo & Video,37,3,34,1
408,364017607,ArtStudio for iPad - Draw Sketch and Paint,34310144,USD,4.99,8542,543,4.5,5,5.98,4+,Photo & Video,26,5,1,1
1478,517871755,"You Doodle - draw on photos & pictures, add text",72188928,USD,0,8520,49,4.5,4.5,7.5.8,4+,Photo & Video,37,5,18,1
1502,521922264,PIP Camera-Selfie Cam&Pic Collage&Photo Editor,74172416,USD,0,8454,26,4.5,5,3.2.2,4+,Photo & Video,40,5,2,1
2112,606310581,Facetune,61157376,USD,3.99,7643,110,4.5,4.5,2.6.3,4+,Photo & Video,38,0,12,1
511,377989827,Diptic,36705280,USD,2.99,7578,67,4.5,5,10,4+,Photo & Video,37,5,1,1
2480,686449807,Telegram Messenger,71896064,USD,0,7573,142,4,4.5,4,4+,Social Networking,40,3,8,1
2168,622434129,BeautyPlus - Selfie Camera for a Beautiful Image,128229376,USD,0,7503,334,5,5,6.4.5,4+,Photo & Video,37,0,9,1
342,350962117,Weibo,199585792,USD,0,7265,11,3.5,4,7.5.2,17+,Social Networking,37,5,2,1
6532,1068110571,Baby Story - Pregnancy Pics Baby Milestones Photo,166354944,USD,0,6700,5964,4.5,4.5,1.6,4+,Photo & Video,37,5,12,1
1787,561350520,Capture - Control Your GoPro Camera - Share Video,94800896,USD,0,6542,145,3,1.5,3.3.2,12+,Photo & Video,37,4,10,1
792,416048305,Meitu,142101504,USD,0,6478,21,5,5,6.7.0,4+,Photo & Video,37,0,5,1
898,433398108,PicFrame,36758528,USD,0.99,6374,66,4.5,5,9.7.2,4+,Photo & Video,37,5,21,1
4298,972909677,Periscope - Live Video Streaming Around the World,108550144,USD,0,6062,17,3.5,4,1.1,4+,Social Networking,37,3,34,1
1307,489833171,Visage makeup editor plus photo teeth whitener,134016000,USD,0,5767,9,4,4.5,4.0.9,4+,Photo & Video,37,3,10,1
3445,907405413,Video & TV Cast for Chromecast: Best Browser to cast and stream webvideos and local videos on TV & Displays,9646080,USD,0,5676,4694,4,4,1.8,17+,Photo & Video,38,5,1,1
3230,885271158,"Adobe Photoshop Mix - Cut out, combine, create",202334208,USD,0,5253,87,4.5,4.5,2.7.1,4+,Photo & Video,37,5,19,1
2638,730712409,ProCam 4 - Manual Camera + RAW,45063168,USD,4.99,5150,236,4.5,4.5,8.9,4+,Photo & Video,37,5,13,1
7361,1085652055,"Collageable - Photo Collage Maker, Pic Grid Free",90942464,USD,0,5112,1764,4.5,4.5,1.5,4+,Photo & Video,37,0,11,1
8614,1112989865,Chat for Whatsapp - iPad Version,24287232,USD,0,5060,4189,3.5,3.5,1.2,12+,Social Networking,24,2,1,1
1034,453718989,QQ HD,118249472,USD,0,5058,0,3.5,0,6.6.1,4+,Social Networking,24,5,1,1
3688,930026670,Enlight,127879168,USD,3.99,4915,337,4.5,4.5,1.3.3,4+,Photo & Video,37,5,13,1
1457,515094775,Bazaart Photo Editor Pro and Picture Collage Maker,120474624,USD,0,4909,479,4.5,5,4.6.3,4+,Photo & Video,37,2,13,1
2082,599534650,InstaBeauty -Camera&Photo Editor&Pic Collage Maker,88886272,USD,0,4818,53,4.5,4.5,2.9.2,4+,Photo & Video,25,5,3,1
905,433671262,"PhotoToaster - Photo Editor, Filters, Effects and Borders",58143744,USD,2.99,4748,391,5,5,6.7.5,4+,Photo & Video,37,5,1,1
1006,447983569,Lock Photos & Video.s Vault - Passcode Protect Your Secret Photo Album & Secure Private Picture.s Folders,14741504,USD,2.99,4697,415,4.5,4.5,4.3,4+,Photo & Video,38,5,1,1
1025,452830319,"Smilebox Moments - Collages, Stickers, Filters, Frames & Animations",25620480,USD,0.99,4510,627,4.5,4.5,3.2.4,4+,Photo & Video,40,0,1,1
789,415850124,PhotoSync – transfer and backup photos & videos,65495040,USD,2.99,4352,33,4.5,5,3.2,4+,Photo & Video,37,5,8,1
2751,768469908,YouCam Perfect - Photo & Selfie Editor,131635200,USD,0,4293,44,4.5,5,5.20.1,4+,Photo & Video,37,5,16,1
3138,871169596,PHHHOTO - Look Alive,54254592,USD,0,4280,59,4,3,3.2,12+,Photo & Video,37,0,3,1
5698,1047340501,MuseCam - Edit Photos & Manual Camera,16869376,USD,0,4267,800,4.5,4.5,1.2.2,4+,Photo & Video,37,5,2,1
5255,1030505688,Followers Analysis Tool For Instagram App Free,7891968,USD,0,4253,251,4,4,1.3,4+,Social Networking,38,1,31,1
2100,603092599,A Beautiful Mess,63549440,USD,0.99,4251,786,4,4.5,2.4,4+,Photo & Video,38,5,1,1
7328,1085024470,live.ly - live video streaming,143863808,USD,0,4145,18,3.5,4,4.12,12+,Social Networking,37,0,21,1
9848,1140798536,VR Tube - Virtual Reality 360 Video Player,11880448,USD,0,4142,103,4,4,4.3,17+,Photo & Video,37,4,11,1
3096,862863329,Fyuse - 3D Photos,118107136,USD,0,4126,10,4.5,4.5,4.1.0,12+,Photo & Video,37,0,25,1
189,320636131,FACEinHOLE?,12818432,USD,0.99,4016,1,4,5,5.7,12+,Photo & Video,37,5,1,1
5026,1018955135,Little Nugget? - capture pregnancy & baby pics,76221440,USD,2.99,4006,18,4.5,4.5,1.2.2,4+,Photo & Video,37,0,1,1
6405,1065781769,Houseparty - Group Video Chat,79375360,USD,0,3991,110,4,4.5,1.1.3,12+,Social Networking,37,4,1,1
4306,973337925,"MakeupPlus - Natural, Professional Makeup Looks",115112960,USD,0,3987,72,4.5,5,3.3.6,4+,Photo & Video,37,0,13,1
1465,516561342,"LINE Camera - Photo editor, Animated Stamp, Filter",77113344,USD,0,3978,58,4.5,5,14.0.4,4+,Photo & Video,37,5,16,1
1854,570103834,Printicular Print Photos - 1 Hour Pickup,54000640,USD,0,3909,53,5,5,2.22.0,4+,Photo & Video,37,5,22,1
3941,949876643,Lumyer - augmented reality camera effects,121899008,USD,0,3896,251,4.5,5,4.0.1,12+,Photo & Video,37,0,11,1
400,363448251,Photogene ?,35422208,USD,2.99,3761,596,4.5,4.5,4.3,4+,Photo & Video,40,5,1,1
1591,533893269,KODAK Kiosk Connect App,21434368,USD,0,3711,525,4.5,4.5,1.23,4+,Photo & Video,38,0,27,1
919,436114747,ComicBook!,92432384,USD,0.99,3702,112,4.5,4.5,2.1.1,9+,Photo & Video,37,4,1,1
3982,951761438,Cool Wallpapers for Pokemon,18546688,USD,0,3694,3041,5,5,2.7,4+,Photo & Video,37,0,1,1
3247,887153944,Pro Editor - Video Maker for FaceBook & Youtube,53158912,USD,0,3668,1005,2.5,3,4.1,9+,Photo & Video,38,1,33,1
2404,668354926,Air Video HD - Now with multitasking and PiP support!,14665728,USD,5.99,3610,724,4.5,4.5,2.2.1,4+,Photo & Video,38,5,1,1
3223,884009993,Lomotif Music Video Editor - Add Music & Effects!,138831872,USD,0,3507,24,4,4,2.2.0,4+,Photo & Video,37,5,20,1
4608,992004655,SOMA Messenger,92802048,USD,0,3232,3,4.5,3.5,1.7.4,4+,Social Networking,40,0,33,1
10535,1165924249,Monkey,68677632,USD,0,3060,122,4,3.5,2.1.1,12+,Social Networking,37,0,1,1
712,406541444,8mm Vintage Camera,22227968,USD,1.99,3040,14,4.5,4,2.5.1,4+,Photo & Video,37,0,4,1
2401,667819594,Rhonna Designs,177529856,USD,1.99,2971,1,4.5,5,2.21,4+,Photo & Video,38,5,24,1
918,435913585,Superimpose,25382912,USD,1.99,2965,205,4.5,5,6.2,4+,Photo & Video,37,5,8,1
1214,477927812,百度贴吧-全球最大兴趣交友社区,123991040,USD,0,2860,4,4,4,8.4.3,17+,Social Networking,37,0,1,1
214,326876192,Epson iPrint,53388288,USD,0,2838,26,3,2.5,6.3.1,4+,Photo & Video,37,5,12,1
3199,881323364,Video Merger Pro Combine Multiple Videos to Video,40767488,USD,0.99,2604,11,4,1,1.7,4+,Photo & Video,37,5,1,1
3976,951627022,Scanner App by Photomyne: Scan & Auto-Crop Photos,71397376,USD,1.99,2582,568,4.5,5,5.4,4+,Photo & Video,37,5,11,1
4596,991526007,Down To Lunch,35410944,USD,0,2535,9,4,3.5,1.72,12+,Social Networking,37,0,1,1
9669,1136617049,YouCam Fun - Live Selfie Video Filters,108771328,USD,0,2522,405,4.5,5,1.9.0,4+,Photo & Video,37,5,16,1
1152,470578793,Secret Calculator Pro - Hide photos & videos,14578688,USD,1.99,2504,644,4.5,5,1.13,4+,Photo & Video,37,0,12,1
1088,462155908,Fisheye Lens - Retro Style Fisheye Camera,7671808,USD,1.99,2485,1564,4.5,4.5,2.1.0,4+,Photo & Video,40,4,6,1
488,374308914,Color Splash for iPad,18752512,USD,1.99,2445,41,4.5,5,3.6.1,4+,Photo & Video,24,5,1,1
4963,1015059175,A Color Story,39306240,USD,0,2436,629,4.5,5,1.1.3,4+,Photo & Video,37,5,1,1
1997,587823548,1 Second Everyday: Video Diary,114876416,USD,4.99,2433,10,3.5,4.5,1.60000.1,4+,Photo & Video,37,0,1,1
553,385145330,Pocketbooth - the photo booth in your pocket,72586240,USD,0.99,2377,5,4.5,5,3.5,4+,Photo & Video,37,5,1,1
5559,1041596399,Boomerang from Instagram,15664128,USD,0,2373,525,3.5,3.5,1.4.2,4+,Photo & Video,37,3,27,1
376,357404131,Slow Shutter Cam,4466688,USD,1.99,2305,100,4,5,4,4+,Photo & Video,37,5,4,1
3406,904209370,"B612 - Trendy Filters, Selfiegenic Camera",81220608,USD,0,2275,207,4.5,4.5,5.5.1,4+,Photo & Video,37,5,21,1
4537,988173374,Polarr Photo Editor - Photo Editing Tools for All,57919488,USD,0,2246,224,4.5,4.5,3.7.1,4+,Photo & Video,37,5,17,1
3528,914517987,Retouch Vogue - Facetune Wrinkles & Pimples Makeup,25153536,USD,0,2235,220,4.5,4,1.5,4+,Photo & Video,38,0,30,1
692,403684733,Badoo Premium - Meet new people. Extra features.,157370368,USD,2.99,2231,3,4.5,5,5.8.0,17+,Social Networking,37,4,30,1
5014,1018355599,Tweetbot 4 for Twitter,12481536,USD,9.99,2213,58,4,3.5,4.6.2,17+,Social Networking,37,5,7,1
2327,653298682,Kanvas - Express Yourself,222722048,USD,0,2177,0,4.5,0,6.3,9+,Photo & Video,37,0,30,1
6484,1067594919,Easy Save - Repost your Instagram Photos & Videos,24253440,USD,0,2159,41,4.5,4.5,3,12+,Photo & Video,37,0,1,1
1100,463422433,Meitu HD,107525120,USD,0,2150,68,4.5,4.5,5.4.0,4+,Photo & Video,24,5,3,1
3094,862550306,Flinch - Video Chat Staring Contest,88759296,USD,0,2134,7,3,1.5,1.7.4,17+,Social Networking,37,0,1,1
1540,526783584,"Pixlr - Photo Collages, Effects, Overlays, Filters",73878528,USD,0,2099,4,4,3.5,3.1.2,4+,Photo & Video,37,5,11,1
4617,992421775,Patternator Pattern Maker Backgrounds & Wallpapers,47943680,USD,0,2092,625,5,5,2.1,4+,Photo & Video,37,5,12,1
2031,592331499,BeautyCam - AR Carnie selfie,161335296,USD,0,2082,12,5,5,6.0.1,4+,Photo & Video,37,0,6,1
1618,536495161,Lapse It Pro ? Time Lapse & Stop Motion Camera ? Professional HD,22585344,USD,2.99,2079,760,4.5,4.5,2.52,4+,Photo & Video,40,5,9,1
4326,974748812,GIPHY. The GIF Search Engine for All the GIFs,48201728,USD,0,2069,46,4.5,4.5,2.6.1,17+,Photo & Video,37,0,1,1
3642,924589795,Highrise - Your Avatar Community,116480000,USD,0,2011,15,4,4.5,2.2.3,12+,Social Networking,37,5,15,1
2873,804177739,Adobe Photoshop Lightroom for iPad,146830336,USD,0,2005,2,4,1,2.7.4,4+,Photo & Video,24,5,12,1
380,357577420,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",21771264,USD,1.99,1995,148,4.5,4.5,6.5,12+,Photo & Video,38,5,14,1
5594,1042987645,Face Swap Live,89829376,USD,1.99,1995,271,4,4.5,2.1.3,12+,Photo & Video,37,5,13,1
978,445338486,LOVOO - Dating Chat,85049344,USD,0,1985,4,4.5,5,3.26.0,17+,Social Networking,37,5,15,1
1479,517989834,SuperPhoto - Photo Effects & Filters,55636992,USD,0,1952,29,4.5,4.5,4.39,4+,Photo & Video,38,5,24,1
3364,899003026,Colorburn - 1000 filters camera for photo & video,39219200,USD,0.99,1947,53,4.5,4.5,3.0.1,4+,Photo & Video,37,5,10,1
5900,1053285387,PlayStation?Messages,48062464,USD,0,1918,92,2,2.5,4.50.17,12+,Social Networking,37,5,19,1
4179,965474816,Baby Pics - pregnancy & baby milestone photos,188807168,USD,2.99,1872,30,4.5,5,2.2.1,4+,Photo & Video,37,5,12,1
1008,448165862,"MOMO陌陌-开启视频社交,用直播分享生活",156017664,USD,0,1862,0,4,0,7.7.47,17+,Social Networking,37,0,1,1
2736,764925064,Waterlogue,55678976,USD,3.99,1827,141,4.5,4.5,1.3.1,4+,Photo & Video,37,5,8,1
1653,543119010,Wireless Transfer App:Sync backup photo and video,35957760,USD,2.99,1810,15,4.5,4,4.5,4+,Photo & Video,37,5,6,1
7798,1094167473,BOO! - Video chat camera with filters & stickers,112069632,USD,0,1805,48,4,5,2.4.0,9+,Social Networking,35,0,1,1
6668,1070864992,Solo Selfie,140281856,USD,0,1799,267,4,4.5,2.2.1,4+,Photo & Video,37,4,11,1
1315,490979746,Visage Lab PRO HD: perfect makeup plus face editor,118072320,USD,4.99,1760,2,4.5,5,4.0.9,4+,Photo & Video,37,3,10,1
4018,953953312,Video Saver & Uploader-Save & Upload your Photo&Movie,11715584,USD,0.99,1754,684,4,4,1.8,4+,Photo & Video,40,5,1,1
3607,921902664,Felt: Birthday & Greeting Cards & Thank You Card,240285696,USD,0,1724,24,4.5,5,3.1.1,4+,Photo & Video,37,5,1,1
2490,688831692,Facetune for iPad,72655872,USD,5.99,1718,22,4.5,4,2.6.3,4+,Photo & Video,24,5,12,1
411,364183992,Qzone,133874688,USD,0,1649,1,3.5,5,7.2.8,4+,Social Networking,37,0,3,1
1110,464660903,"Perfect Image - Pic Collage Maker, Add Text to Photo, Cool Picture Editor",77390848,USD,0,1646,141,4.5,4.5,3.8.2,4+,Photo & Video,38,5,5,1
2535,698054232,Chatous - Chat with new people,103056384,USD,0,1609,5,3,5,3.8.10,12+,Social Networking,37,0,11,1
1594,534174529,InstaBoard  for Instagram - photos & videos repost,53230592,USD,0,1571,9,3.5,1.5,3,12+,Photo & Video,37,1,1,1
4183,965609252,Kiwi - Q&A,101882880,USD,0,1538,17,4,4.5,3.0.20,12+,Social Networking,37,4,34,1
2522,694647259,ProCamera.,96517120,USD,4.99,1525,13,4.5,4.5,10.3,4+,Photo & Video,37,0,10,1
3180,878783582,Adobe Photoshop Lightroom for iPhone,143550464,USD,0,1494,9,4,3,2.7.4,4+,Photo & Video,15,0,12,1
1263,482669234,Intro Designer for iMovie and Youtube,96086016,USD,2.99,1484,9,4.5,4,3.1,9+,Photo & Video,37,5,7,1
924,436577167,FiLMiC Pro,125991936,USD,14.99,1478,18,3,4.5,6.0.3,4+,Photo & Video,37,5,1,1
2156,618790117,Cute CUT Pro - Full Featured Video Editor,52002816,USD,5.99,1478,253,4,4.5,1.8.5,4+,Photo & Video,38,5,12,1
